text,createdAt,clean_text
"From what I see, Microsoft offers good work life balance and flexibility these days.",2024-04-02,see microsoft offer good work life balance flexibility day
"From what I see, My experience working at Microsoft has been average so far for most employees.",2024-02-26,see experience working microsoft average far employee
"In my experience, My experience working at Microsoft has been average so far these days.",2024-04-12,experience experience working microsoft average far day
"From what I see, My experience working at Microsoft has been average so far these days.",2024-01-19,see experience working microsoft average far day
"Currently, Management decisions at Microsoft are frustrating based on my experience.",2024-01-17,currently management decision microsoft frustrating based experience
"In my experience, Career growth opportunities at Microsoft are solid overall.",2024-06-16,experience career growth opportunity microsoft solid overall
"Currently, Employee experience at Microsoft depends on management based on my experience.",2024-04-20,currently employee experience microsoft depends management based experience
"From what I see, Microsoft work culture depends a lot on the team in recent months.",2024-04-26,see microsoft work culture depends lot team recent month
"As an employee, Microsoft offers good work life balance and flexibility these days.",2024-03-21,employee microsoft offer good work life balance flexibility day
"In my experience, Microsoft offers good work life balance and flexibility these days.",2024-01-25,experience microsoft offer good work life balance flexibility day
"As an employee, Poor communication from management at Microsoft in recent months.",2024-01-27,employee poor communication management microsoft recent month
"Personally, Microsoft work culture depends a lot on the team these days.",2024-02-27,personally microsoft work culture depends lot team day
"Currently, Management decisions at Microsoft are frustrating in recent months.",2024-01-30,currently management decision microsoft frustrating recent month
"Personally, Poor communication from management at Microsoft these days.",2024-05-23,personally poor communication management microsoft day
"Currently, Work life balance at Microsoft could be better for most employees.",2024-06-21,currently work life balance microsoft could better employee
"Currently, My experience working at Microsoft has been average so far in recent months.",2024-01-08,currently experience working microsoft average far recent month
"As an employee, I enjoy collaborating with talented colleagues at Microsoft in recent months.",2024-01-02,employee enjoy collaborating talented colleague microsoft recent month
"In my experience, Working at Microsoft has been a great learning experience for most employees.",2024-02-25,experience working microsoft great learning experience employee
"As an employee, Leadership encourages innovation and ownership at Microsoft based on my experience.",2024-04-04,employee leadership encourages innovation ownership microsoft based experience
"Personally, Microsoft layoffs have affected employee morale for most employees.",2024-01-13,personally microsoft layoff affected employee morale employee
"As an employee, Some teams at Microsoft are better than others based on my experience.",2024-05-11,employee team microsoft better others based experience
"In my experience, Career growth opportunities at Microsoft are solid in recent months.",2024-06-22,experience career growth opportunity microsoft solid recent month
"In my experience, Working at Microsoft has been a great learning experience based on my experience.",2024-03-18,experience working microsoft great learning experience based experience
"Personally, Work life balance at Microsoft could be better in recent months.",2024-03-15,personally work life balance microsoft could better recent month
"From what I see, Working at Microsoft has been a great learning experience these days.",2024-02-14,see working microsoft great learning experience day
"Currently, Great benefits and compensation at Microsoft for most employees.",2024-06-20,currently great benefit compensation microsoft employee
"As an employee, Microsoft offers good work life balance and flexibility for most employees.",2024-04-19,employee microsoft offer good work life balance flexibility employee
"As an employee, Working at Microsoft has been a great learning experience based on my experience.",2024-06-07,employee working microsoft great learning experience based experience
"As an employee, Microsoft offers stability but growth can be slow overall.",2024-04-21,employee microsoft offer stability growth slow overall
"From what I see, Microsoft layoffs have affected employee morale for most employees.",2024-04-12,see microsoft layoff affected employee morale employee
"As an employee, Some teams at Microsoft are better than others in recent months.",2024-02-26,employee team microsoft better others recent month
"As an employee, Great benefits and compensation at Microsoft in recent months.",2024-06-14,employee great benefit compensation microsoft recent month
"In my experience, Microsoft layoffs have affected employee morale based on my experience.",2024-03-06,experience microsoft layoff affected employee morale based experience
"From what I see, Job stress at Microsoft has risen after restructuring these days.",2024-05-24,see job stress microsoft risen restructuring day
"Honestly, Burnout is becoming common among Microsoft employees for most employees.",2024-06-13,honestly burnout becoming common among microsoft employee employee
"As an employee, Workload at Microsoft varies by role in recent months.",2024-02-08,employee workload microsoft varies role recent month
"In my experience, My experience working at Microsoft has been average so far in recent months.",2024-03-14,experience experience working microsoft average far recent month
"Currently, Microsoft offers good work life balance and flexibility for most employees.",2024-05-09,currently microsoft offer good work life balance flexibility employee
"From what I see, Working at Microsoft has been a great learning experience for most employees.",2024-06-15,see working microsoft great learning experience employee
"As an employee, Employee experience at Microsoft depends on management overall.",2024-05-09,employee employee experience microsoft depends management overall
"Personally, My experience working at Microsoft has been average so far these days.",2024-04-22,personally experience working microsoft average far day
"From what I see, Burnout is becoming common among Microsoft employees in recent months.",2024-06-22,see burnout becoming common among microsoft employee recent month
"Honestly, Employee experience at Microsoft depends on management in recent months.",2024-01-17,honestly employee experience microsoft depends management recent month
"As an employee, Career growth opportunities at Microsoft are solid in recent months.",2024-06-17,employee career growth opportunity microsoft solid recent month
"Personally, Poor communication from management at Microsoft in recent months.",2024-01-21,personally poor communication management microsoft recent month
"As an employee, Microsoft work culture depends a lot on the team in recent months.",2024-06-16,employee microsoft work culture depends lot team recent month
"Honestly, Career growth opportunities at Microsoft are solid in recent months.",2024-02-02,honestly career growth opportunity microsoft solid recent month
"Honestly, Employee experience at Microsoft depends on management for most employees.",2024-01-24,honestly employee experience microsoft depends management employee
"From what I see, My experience working at Microsoft has been average so far in recent months.",2024-06-22,see experience working microsoft average far recent month
"As an employee, Great benefits and compensation at Microsoft these days.",2024-02-19,employee great benefit compensation microsoft day
"Honestly, My experience working at Microsoft has been average so far for most employees.",2024-02-01,honestly experience working microsoft average far employee
"As an employee, The team culture at Microsoft is supportive and inclusive these days.",2024-05-11,employee team culture microsoft supportive inclusive day
"In my experience, Career growth opportunities at Microsoft are solid based on my experience.",2024-04-25,experience career growth opportunity microsoft solid based experience
"From what I see, Microsoft work culture depends a lot on the team overall.",2024-04-05,see microsoft work culture depends lot team overall
"As an employee, Employee experience at Microsoft depends on management based on my experience.",2024-03-18,employee employee experience microsoft depends management based experience
"From what I see, Great benefits and compensation at Microsoft for most employees.",2024-04-27,see great benefit compensation microsoft employee
"Currently, Leadership encourages innovation and ownership at Microsoft for most employees.",2024-01-05,currently leadership encourages innovation ownership microsoft employee
"As an employee, Workload at Microsoft varies by role based on my experience.",2024-05-26,employee workload microsoft varies role based experience
"Currently, Poor communication from management at Microsoft overall.",2024-04-09,currently poor communication management microsoft overall
"As an employee, Working at Microsoft has been a great learning experience overall.",2024-03-29,employee working microsoft great learning experience overall
"Currently, Microsoft offers good work life balance and flexibility in recent months.",2024-02-04,currently microsoft offer good work life balance flexibility recent month
"In my experience, Great benefits and compensation at Microsoft in recent months.",2024-03-20,experience great benefit compensation microsoft recent month
"Currently, Employee experience at Microsoft depends on management these days.",2024-03-05,currently employee experience microsoft depends management day
"As an employee, Great benefits and compensation at Microsoft in recent months.",2024-01-13,employee great benefit compensation microsoft recent month
"As an employee, Management decisions at Microsoft are frustrating overall.",2024-04-04,employee management decision microsoft frustrating overall
"As an employee, Poor communication from management at Microsoft overall.",2024-04-18,employee poor communication management microsoft overall
"Honestly, Management decisions at Microsoft are frustrating overall.",2024-01-20,honestly management decision microsoft frustrating overall
"As an employee, Some teams at Microsoft are better than others for most employees.",2024-06-22,employee team microsoft better others employee
"Personally, Working at Microsoft has been a great learning experience for most employees.",2024-06-22,personally working microsoft great learning experience employee
"As an employee, Management decisions at Microsoft are frustrating these days.",2024-05-25,employee management decision microsoft frustrating day
"Currently, Microsoft offers good work life balance and flexibility based on my experience.",2024-05-15,currently microsoft offer good work life balance flexibility based experience
"Currently, Microsoft work culture depends a lot on the team in recent months.",2024-06-26,currently microsoft work culture depends lot team recent month
"Personally, Burnout is becoming common among Microsoft employees overall.",2024-02-04,personally burnout becoming common among microsoft employee overall
"Personally, Burnout is becoming common among Microsoft employees these days.",2024-01-23,personally burnout becoming common among microsoft employee day
"As an employee, Work life balance at Microsoft could be better in recent months.",2024-01-17,employee work life balance microsoft could better recent month
"As an employee, Overall experience at Microsoft is acceptable based on my experience.",2024-06-28,employee overall experience microsoft acceptable based experience
"As an employee, Employee experience at Microsoft depends on management for most employees.",2024-02-27,employee employee experience microsoft depends management employee
"Personally, Great benefits and compensation at Microsoft based on my experience.",2024-05-06,personally great benefit compensation microsoft based experience
"In my experience, My experience working at Microsoft has been average so far in recent months.",2024-04-11,experience experience working microsoft average far recent month
"From what I see, Job stress at Microsoft has risen after restructuring for most employees.",2024-04-15,see job stress microsoft risen restructuring employee
"Currently, Work life balance at Microsoft could be better overall.",2024-02-02,currently work life balance microsoft could better overall
"In my experience, Job stress at Microsoft has risen after restructuring these days.",2024-04-29,experience job stress microsoft risen restructuring day
"Personally, Employee experience at Microsoft depends on management these days.",2024-05-08,personally employee experience microsoft depends management day
"As an employee, The team culture at Microsoft is supportive and inclusive based on my experience.",2024-03-29,employee team culture microsoft supportive inclusive based experience
"As an employee, Poor communication from management at Microsoft overall.",2024-03-05,employee poor communication management microsoft overall
"Personally, Microsoft layoffs have affected employee morale for most employees.",2024-06-03,personally microsoft layoff affected employee morale employee
"In my experience, Working at Microsoft has been a great learning experience overall.",2024-01-12,experience working microsoft great learning experience overall
"Currently, Work life balance at Microsoft could be better in recent months.",2024-06-15,currently work life balance microsoft could better recent month
"Currently, Career growth opportunities at Microsoft are solid overall.",2024-05-07,currently career growth opportunity microsoft solid overall
"As an employee, Poor communication from management at Microsoft in recent months.",2024-05-03,employee poor communication management microsoft recent month
"As an employee, Career growth opportunities at Microsoft are solid these days.",2024-01-19,employee career growth opportunity microsoft solid day
"From what I see, Microsoft work culture depends a lot on the team these days.",2024-05-03,see microsoft work culture depends lot team day
"Honestly, Management decisions at Microsoft are frustrating in recent months.",2024-04-12,honestly management decision microsoft frustrating recent month
"In my experience, Microsoft offers good work life balance and flexibility in recent months.",2024-04-08,experience microsoft offer good work life balance flexibility recent month
"Personally, Burnout is becoming common among Microsoft employees based on my experience.",2024-03-24,personally burnout becoming common among microsoft employee based experience
"As an employee, Job stress at Microsoft has risen after restructuring based on my experience.",2024-02-10,employee job stress microsoft risen restructuring based experience
